iter	Logloss
0	0.6723226755
1	0.660554306
2	0.6456113851
3	0.6279068246
4	0.6133393892
5	0.6022528274
6	0.589771886
7	0.5778132092
8	0.5648464781
9	0.5524435315
10	0.5409245181
11	0.528993215
12	0.5163877683
13	0.504182037
14	0.4959518096
15	0.485950004
16	0.4774979665
17	0.469426308
18	0.4608753422
19	0.4522836886
20	0.4472298025
21	0.4420237152
22	0.4350135921
23	0.4282620957
24	0.4233625005
25	0.4194271796
26	0.4133018614
27	0.4077446687
28	0.4014179865
29	0.3961757435
30	0.3899710834
31	0.3856269285
32	0.3834314307
33	0.3793577049
34	0.3754857952
35	0.3731098908
36	0.3706924451
37	0.3677906842
38	0.365195186
39	0.3624696176
40	0.3590206456
41	0.3556452202
42	0.3530199657
43	0.3502599162
44	0.3471493722
45	0.3443627834
46	0.343060053
47	0.3408474544
48	0.3382131249
49	0.336233808
50	0.3340094103
51	0.3330402273
52	0.3306594101
53	0.3289935191
54	0.3269925367
55	0.3263014704
56	0.3247210469
57	0.3232833813
58	0.3211973998
59	0.3196545884
60	0.3184088773
61	0.3180608953
62	0.3160464042
63	0.3150018117
64	0.3133098116
65	0.3113274795
66	0.309624281
67	0.3084045663
68	0.306883678
69	0.3058660043
70	0.3050822285
71	0.3035943082
72	0.3018562429
73	0.3012694673
74	0.3001626914
75	0.2993157434
76	0.2985498326
77	0.297220269
78	0.2958941013
79	0.2951074546
80	0.293489175
81	0.2925032124
82	0.2905536614
83	0.2895557093
84	0.2883457004
85	0.2873047699
86	0.2864476721
87	0.285813872
88	0.2855647043
89	0.2853100194
90	0.285194714
91	0.2843967095
92	0.2838442592
93	0.283113443
94	0.2823796527
95	0.2813459546
96	0.2807777999
97	0.2802080713
98	0.2797195927
99	0.2791655488
100	0.2788573917
101	0.2779440994
102	0.2775573189
103	0.2772171342
104	0.2760512862
105	0.2757117584
106	0.2751553122
107	0.2748269267
108	0.2744199191
109	0.2740506386
110	0.2735605028
111	0.2735298438
112	0.2732138048
113	0.2722533364
114	0.2716700568
115	0.2710262258
116	0.270946943
117	0.2701589809
118	0.269810666
119	0.2691963652
120	0.268786304
121	0.2684473311
122	0.2681302386
123	0.2679388512
124	0.2674505537
125	0.2671085545
126	0.2668607971
127	0.2662307971
128	0.2661927143
129	0.2658729899
130	0.2654226533
131	0.2650464771
132	0.2646331602
133	0.2643142051
134	0.2640277105
135	0.2631409851
136	0.2626550482
137	0.2619002692
138	0.2612690918
139	0.260847676
140	0.2608074852
141	0.2605982248
142	0.2603595973
143	0.2602394026
144	0.2600383863
145	0.2591684109
146	0.258986727
147	0.2588048326
148	0.2586870005
149	0.2586015228
150	0.2583119876
151	0.2580667524
152	0.2574109395
153	0.2569975619
154	0.2565564239
155	0.2563790704
156	0.2563402377
157	0.2557355681
158	0.2553194366
159	0.2551026603
160	0.2548074655
161	0.2545373716
162	0.2542704338
163	0.2541492429
164	0.2536498462
165	0.2534287235
166	0.252744864
167	0.2524083691
168	0.2521000068
169	0.2519241197
170	0.2511061795
171	0.2504267475
172	0.2500180469
173	0.2492802745
174	0.247944257
175	0.2476926373
176	0.2474565451
177	0.2469569825
178	0.2460955634
179	0.2457722363
180	0.2451937682
181	0.2451039638
182	0.2450084316
183	0.2446706618
184	0.2439956056
185	0.2435888643
186	0.2433924669
187	0.2430075683
188	0.2428056219
189	0.2426360265
190	0.2423423136
191	0.2420292693
192	0.24147231
193	0.2414152742
194	0.2406481476
195	0.2404197753
196	0.2404014191
197	0.240171264
198	0.2397978123
199	0.2396329131
200	0.2393254412
201	0.2389957167
202	0.2387270384
203	0.2385737778
204	0.2384387989
205	0.2384387559
206	0.2382163642
207	0.2379855983
208	0.2377340177
209	0.2374418981
210	0.2371168221
211	0.2370666017
212	0.2366560678
213	0.2363834986
214	0.2351592534
215	0.2350557538
216	0.2349907862
217	0.234721883
218	0.2345673074
219	0.234125028
220	0.2338575276
221	0.2338325593
222	0.2337100672
223	0.2336624022
224	0.2335053833
225	0.2333298688
