iter	Passed	Remaining
0	53	27476
1	56	14533
2	59	10238
3	62	7985
4	64	6590
5	66	5643
6	68	4965
7	70	4454
8	71	4047
9	73	3722
10	75	3457
11	77	3252
12	79	3062
13	81	2911
14	82	2768
15	84	2638
16	86	2525
17	87	2428
18	89	2346
19	91	2267
20	92	2185
21	94	2118
22	96	2060
23	97	2004
24	99	1955
25	101	1905
26	102	1863
27	104	1827
28	106	1795
29	108	1763
30	111	1738
31	112	1707
32	114	1671
33	117	1659
34	119	1646
35	122	1635
36	125	1619
37	127	1598
38	129	1578
39	131	1561
40	132	1539
41	134	1519
42	136	1502
43	138	1482
44	139	1463
45	141	1445
46	142	1425
47	144	1409
48	146	1394
49	148	1380
50	149	1367
51	151	1351
52	153	1339
53	154	1325
54	156	1313
55	158	1302
56	160	1291
57	162	1279
58	163	1267
59	165	1256
60	167	1249
61	168	1235
62	170	1225
63	172	1215
64	174	1211
65	176	1203
66	178	1194
67	179	1185
68	181	1177
69	183	1169
70	185	1162
71	187	1153
72	188	1145
73	190	1137
74	192	1129
75	193	1121
76	195	1113
77	196	1104
78	198	1099
79	200	1093
80	202	1087
81	204	1081
82	205	1074
83	208	1069
84	209	1064
85	211	1058
86	213	1053
87	215	1047
88	216	1039
89	218	1033
90	219	1025
91	221	1020
92	223	1014
93	224	1008
94	226	1003
95	228	999
96	230	994
97	231	989
98	233	984
99	235	978
100	237	974
101	238	968
102	240	963
103	242	958
104	243	953
105	245	948
106	246	943
107	248	938
108	250	933
109	251	929
110	253	924
111	254	918
112	256	914
113	258	910
114	260	907
115	262	903
116	263	898
117	265	894
118	266	890
119	268	885
120	269	881
121	271	877
122	273	873
123	274	868
124	276	865
125	278	861
126	280	857
127	281	853
128	282	848
129	284	844
130	285	840
131	287	837
132	289	834
133	291	830
134	293	827
135	295	824
136	296	820
137	298	816
138	299	813
139	301	810
140	302	805
141	304	802
142	306	799
143	308	796
144	309	792
145	311	788
146	312	785
147	314	782
148	316	779
149	317	774
150	319	771
151	321	768
152	322	765
153	324	763
154	326	759
155	327	756
156	329	752
157	330	749
158	332	746
159	334	743
160	335	740
161	337	738
162	339	734
163	341	731
164	342	729
165	344	726
166	346	723
167	347	720
168	349	717
169	351	714
170	353	712
171	355	710
172	356	707
173	358	705
174	360	702
175	362	699
176	363	696
177	365	693
178	367	691
179	369	688
180	371	686
181	372	683
182	374	680
183	375	677
184	377	674
185	378	672
186	380	669
187	382	666
188	383	663
189	385	660
190	386	658
191	388	655
192	390	652
193	391	649
194	393	646
195	394	644
196	395	640
197	397	637
198	398	635
199	400	632
200	402	630
201	403	627
202	405	625
203	407	622
204	408	620
205	409	616
206	411	614
207	413	611
208	414	609
209	416	606
210	418	604
211	419	600
212	420	598
213	422	596
214	424	593
215	425	591
216	427	588
217	428	586
218	430	583
219	432	581
220	433	578
221	434	575
222	436	573
223	438	570
224	439	568
225	441	566
226	443	564
227	444	562
228	446	559
229	448	557
230	449	554
231	451	552
232	453	550
233	454	548
234	456	546
235	458	543
236	459	541
237	461	538
238	463	536
239	464	534
240	466	531
241	467	528
242	468	526
243	469	523
244	471	521
245	473	519
246	474	517
247	476	514
248	478	512
249	479	510
250	481	508
251	482	505
252	484	503
253	485	500
254	487	498
255	488	496
256	490	494
257	492	492
258	494	490
259	495	488
260	497	485
261	498	483
262	500	481
263	502	479
264	504	477
265	505	474
266	506	472
267	508	470
268	510	468
269	511	466
270	513	464
271	515	462
272	516	460
273	518	457
274	519	455
275	521	453
276	523	451
277	524	449
278	526	447
279	528	445
280	529	443
281	530	440
282	532	438
283	534	436
284	535	434
285	537	432
286	538	430
287	540	427
288	542	425
289	543	423
290	545	421
291	547	419
292	548	417
293	550	415
294	552	413
295	554	411
296	555	409
297	557	407
298	558	405
299	560	403
300	562	401
301	563	399
302	565	397
303	566	395
304	568	393
305	569	391
306	571	389
307	573	387
308	575	385
309	576	383
310	578	381
311	579	378
312	581	376
313	582	374
314	584	372
315	586	370
316	587	369
317	589	367
318	591	365
319	593	363
320	594	361
321	596	359
322	598	357
323	599	355
324	601	353
325	603	351
326	604	349
327	606	347
328	608	345
329	609	343
330	611	341
331	613	339
332	614	337
333	616	336
334	618	334
335	619	332
336	621	330
337	623	328
338	624	326
339	625	323
340	627	322
341	629	320
342	631	318
343	632	316
344	634	314
345	636	312
346	637	310
347	639	308
348	641	306
349	642	304
350	644	302
351	645	300
352	647	299
353	649	297
354	651	295
355	652	293
356	654	291
357	655	289
358	657	287
359	659	285
360	660	283
361	662	281
362	664	279
363	665	278
364	667	276
365	669	274
366	670	272
367	672	270
368	674	268
369	676	266
370	678	265
371	680	263
372	682	261
373	684	259
374	685	257
375	687	255
376	689	254
377	690	252
378	692	250
379	694	248
380	696	246
381	697	244
382	699	242
383	701	241
384	702	239
385	704	237
386	706	235
387	708	233
388	709	231
389	711	229
390	713	228
391	715	226
392	716	224
393	718	222
394	719	220
395	721	218
396	723	216
397	724	214
398	726	213
399	728	211
400	729	209
401	731	207
402	733	205
403	734	203
404	736	201
405	738	199
406	739	198
407	741	196
408	743	194
409	745	192
410	746	190
411	748	188
412	750	187
413	752	185
414	753	183
415	755	181
416	757	179
417	759	177
418	760	176
419	762	174
420	764	172
421	765	170
422	767	168
423	769	166
424	770	165
425	772	163
426	773	161
427	775	159
428	777	157
429	779	155
430	781	154
431	782	152
432	784	150
433	785	148
434	787	146
435	788	144
436	790	142
437	792	141
438	793	139
439	795	137
440	797	135
441	798	133
442	800	131
443	802	130
444	803	128
445	805	126
446	807	124
447	808	122
448	810	120
449	812	119
450	813	117
451	815	115
452	817	113
453	819	111
454	820	110
455	822	108
456	823	106
457	825	104
458	827	102
459	828	100
460	830	99
461	832	97
462	834	95
463	835	93
464	837	91
465	839	90
466	840	88
467	842	86
468	844	84
469	845	82
470	847	80
471	849	79
472	850	77
473	852	75
474	854	73
475	856	71
476	858	70
477	859	68
478	861	66
479	862	64
480	864	62
481	866	61
482	868	59
483	869	57
484	871	55
485	872	53
486	874	52
487	876	50
488	878	48
489	880	46
490	881	44
491	883	43
492	885	41
493	886	39
494	888	37
495	889	35
496	891	34
497	893	32
498	894	30
499	896	28
500	898	26
501	900	25
502	901	23
503	903	21
504	905	19
505	906	17
506	908	16
507	910	14
508	911	12
509	913	10
510	915	8
511	916	7
512	918	5
513	920	3
514	921	1
515	923	0
